id, label, s, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33, hand_dir_1, hand_dir_2, hand_dir_3,  thumb_dir_1, thumb_dir_2, thumb_dir_3, 	thumb_meta_center_1, thumb_meta_center_2, thumb_meta_center_3, thumb_meta_dir_1, thumb_meta_dir_2, thumb_meta_dir_3, 	thumb_prox_center_1, thumb_prox_center_2, thumb_prox_center_3, thumb_prox_dir_1, thumb_prox_dir_2, thumb_prox_dir_3, 	thumb_int_center_1, thumb_int_center_2, thumb_int_center_3, thumb_int_dir_1, thumb_int_dir_2, thumb_int_dir_3, 	thumb_dist_center_1, thumb_dist_center_2, thumb_dist_center_3, thumb_dist_dir_1, thumb_dist_dir_2, thumb_dist_dir_3, 	thumb_tip_pos_1, thumb_tip_pos_2, thumb_tip_pos_3, index_dir_1, index_dir_2, index_dir_3, 	index_meta_center_1, index_meta_center_2, index_meta_center_3, index_meta_dir_1, index_meta_dir_2, index_meta_dir_3, 	index_prox_center_1, index_prox_center_2, index_prox_center_3, index_prox_dir_1, index_prox_dir_2, index_prox_dir_3, 	index_int_center_1, index_int_center_2, index_int_center_3, index_int_dir_1, index_int_dir_2, index_int_dir_3, 	index_dist_center_1, index_dist_center_2, index_dist_center_3, index_dist_dir_1, index_dist_dir_2, index_dist_dir_3, 	index_tip_pos_1, index_tip_pos_2, index_tip_pos_3, middle_dir_1, middle_dir_2, middle_dir_3, 	middle_meta_center_1, middle_meta_center_2, middle_meta_center_3, middle_meta_dir_1, middle_meta_dir_2, middle_meta_dir_3, 	middle_prox_center_1, middle_prox_center_2, middle_prox_center_3, middle_prox_dir_1, middle_prox_dir_2, middle_prox_dir_3, 	middle_int_center_1, middle_int_center_2, middle_int_center_3, middle_int_dir_1, middle_int_dir_2, middle_int_dir_3, 	middle_dist_center_1, middle_dist_center_2, middle_dist_center_3, middle_dist_dir_1, middle_dist_dir_2, middle_dist_dir_3, 	middle_tip_pos_1, middle_tip_pos_2, middle_tip_pos_3, ring_dir_1, ring_dir_2, ring_dir_3, 	ring_meta_center_1, ring_meta_center_2, ring_meta_center_3, ring_meta_dir_1, ring_meta_dir_2, ring_meta_dir_3, 	ring_prox_center_1, ring_prox_center_2, ring_prox_center_3, ring_prox_dir_1, ring_prox_dir_2, ring_prox_dir_3, 	ring_int_center_1, ring_int_center_2, ring_int_center_3, ring_int_dir_1, ring_int_dir_2, ring_int_dir_3, 	ring_dist_center_1, ring_dist_center_2, ring_dist_center_3, ring_dist_dir_1, ring_dist_dir_2, ring_dist_dir_3, 	ring_tip_pos_1, ring_tip_pos_2, ring_tip_pos_3, pinkie_dir_1, pinkie_dir_2, pinkie_dir_3, 	pinkie_meta_center_1, pinkie_meta_center_2, pinkie_meta_center_3, pinkie_meta_dir_1, pinkie_meta_dir_2, pinkie_meta_dir_3, 	pinkie_prox_center_1, pinkie_prox_center_2, pinkie_prox_center_3, pinkie_prox_dir_1, pinkie_prox_dir_2, pinkie_prox_dir_3, 	pinkie_int_center_1, pinkie_int_center_2, pinkie_int_center_3, pinkie_int_dir_1, pinkie_int_dir_2, pinkie_int_dir_3, 	pinkie_dist_center_1, pinkie_dist_center_2, pinkie_dist_center_3, pinkie_dist_dir_1, pinkie_dist_dir_2, pinkie_dist_dir_3, 	pinkie_tip_pos_1, pinkie_tip_pos_2, pinkie_tip_pos_3,
1, a, 0.757928, 35.0001, 9.92505, -20.4285, 0.959384, 0.226261, 0.168487, -0.211169, 0.972018, -0.102901, -0.187055, 0.0631424, 0.980318, 0.0645983, 0.367693, -0.927701, -0.347452, 0.129926, -0.928653, -9.41449, 109.501, 52.472, 0.585498, 0.797335, 0.146453, -22.8921, 114.088, 9.49385, 0.479719, 0.87557, -0.056986, -48.4605, 125.359, -32.5745, 0.479719, 0.87557, -0.056986, -33.6368, 118.106, -19.2242, 0.479719, 0.87557, -0.056986, -49.7866, 116.736, -29.515, 0.104287, -0.726458, 0.679252, -6.69204, 144.879, -13.8996, 0.974482, -0.145597, -0.170839, -16.2039, 112.484, -33.3538, 0.955158, -0.117147, -0.271936, -10.0964, 93.5564, -3.74809, 0.955158, -0.117147, -0.271936, -13.9176, 96.5581, -18.463, 0.955158, -0.117147, -0.271936, -16.6987, 88.705, -8.43685, -0.197952, -0.607029, 0.76963, 13.234, 142.489, -13.5677, 0.937291, -0.339881, -0.0772496, -1.17915, 105.807, -32.4846, 0.936184, -0.349755, -0.0350717, -6.29381, 88.4256, 4.322, 0.936184, -0.349755, -0.0350717, -6.28463, 90.1505, -12.6347, 0.936184, -0.349755, -0.0350717, -12.7096, 82.6569, 0.315961, -0.336676, -0.509987, 0.791557, 32.2324, 136.169, -8.44304, 0.897349, -0.43847, 0.050079, 16.8398, 102.242, -24.3878, 0.890124, -0.446564, 0.0908857, 6.40369, 88.9117, 12.323, 0.890124, -0.446564, 0.0908857, 8.38069, 89.4286, -4.49953, 0.890124, -0.446564, 0.0908857, 0.228867, 82.6975, 7.04686, -0.603123, -0.392458, 0.69442, 48.0985, 126.215, -3.31127, 0.792839, -0.597456, 0.120222, 33.3505, 102.12, -18.4925, 0.729447, -0.623607, 0.281108, 17.4647, 95.7343, 8.56323, 0.729447, -0.623607, 0.281108, 22.6513, 95.158, -6.1737, 0.729447, -0.623607, 0.281108, 12.9537, 89.2179, 4.28549, 
2, a, 0.860328, -33.5426, 10.7699, -23.4741, 0.992664, -0.0852912, -0.0856905, 0.0968802, 0.985154, 0.141726, 0.0723303, -0.148988, 0.98619, -0.181817, 0.440299, -0.879249, -0.224908, 0.00580968, -0.974363, -18.8646, 139.791, 97.0437, 0.520732, 0.848392, 0.0952353, -48.4857, 148.35, 62.3328, 0.359446, 0.929948, -0.0774244, -69.6679, 152.623, 15.3191, 0.359446, 0.929948, -0.0774244, -55.6179, 148.534, 31.4341, 0.359446, 0.929948, -0.0774244, -64.5135, 152.889, 20.8339, 0.246794, -0.848514, 0.4681, -35.0216, 181.073, 33.8687, 0.921042, -0.0154489, -0.389156, -43.5185, 146.062, 16.5853, 0.890656, 0.00826011, -0.454604, -31.7389, 118.723, 39.1671, 0.890656, 0.00826011, -0.454604, -37.9705, 126.987, 27.1084, 0.890656, 0.00826011, -0.454604, -25.5832, 118.757, 40.6677, -0.017526, -0.784, 0.620514, -14.8908, 181.055, 29.5799, 0.925355, -0.219159, -0.309334, -29.0992, 141.302, 14.4948, 0.93503, -0.232665, -0.267556, -27.1737, 112.531, 46.2428, 0.93503, -0.232665, -0.267556, -29.5627, 120.567, 30.9063, 0.93503, -0.232665, -0.267556, -19.4856, 111.97, 47.9291, -0.17064, -0.743698, 0.646371, 5.82102, 176.571, 29.875, 0.924993, -0.330941, -0.186726, -9.67145, 140.622, 15.9275, 0.927804, -0.342142, -0.148723, -14.275, 114.064, 48.3051, 0.927804, -0.342142, -0.148723, -14.068, 121.46, 32.5814, 0.927804, -0.342142, -0.148723, -5.94057, 112.937, 49.7993, -0.385479, -0.684153, 0.619145, 23.7928, 168.013, 30.4992, 0.855264, -0.505989, -0.111793, 7.29873, 142.498, 17.9103, 0.849901, -0.524522, -0.0504465, -2.82432, 123.631, 43.5298, 0.849901, -0.524522, -0.0504465, 0.286357, 130.052, 29.1733, 0.849901, -0.524522, -0.0504465, 6.86793, 121.207, 45.0166, 
3, a, 0.290247, 90.8541, 1.43588, -89.1209, 0.793627, -0.288641, 0.535576, -0.0383614, 0.854805, 0.517529, -0.607193, -0.431271, 0.667324, 0.0174219, 0.42655, -0.904296, -0.110958, 0.0558047, -0.992257, -4.93599, 145.962, 76.2656, 0.496904, 0.846097, 0.192888, -23.7069, 154.289, 34.6262, 0.390338, 0.920636, 0.00812771, -39.0722, 161.236, -14.3519, 0.390338, 0.920636, 0.00812771, -27.2256, 156.058, 3.16001, 0.390338, 0.920636, 0.00812771, -36.2187, 157.052, -11.9114, 0.0184184, -0.975602, 0.218773, -6.60017, 186.277, 10.476, 0.983193, -0.028754, -0.180293, -11.3881, 151.989, -9.47593, 0.980909, -0.0247348, -0.192885, -9.66303, 116.625, 3.83192, 0.980909, -0.0247348, -0.192885, -10.9741, 130.057, -4.55781, 0.980909, -0.0247348, -0.192885, -13.0367, 122.096, -11.4915, -0.217716, -0.929022, 0.299197, 13.9804, 186.041, 10.647, 0.967945, -0.2311, -0.0983664, 3.07651, 147.125, -8.7546, 0.968187, -0.244312, -0.0540848, -5.59059, 108.744, 9.4689, 0.968187, -0.244312, -0.0540848, -2.68168, 122.554, -0.84138, 0.968187, -0.244312, -0.0540848, -5.08757, 115.355, -8.40956, -0.347897, -0.897931, 0.269606, 34.0885, 181.412, 15.4858, 0.939867, -0.340769, 0.0229268, 22.1162, 146.524, -3.65432, 0.936199, -0.348059, 0.0488401, 7.71229, 110.135, 13.128, 0.936199, -0.348059, 0.0488401, 13.1526, 123.388, 3.29212, 0.936199, -0.348059, 0.0488401, 9.71184, 114.929, 1.15943, -0.506932, -0.835291, 0.212858, 51.4066, 172.736, 20.1141, 0.853702, -0.514005, 0.0836214, 37.9689, 147.91, 3.24203, 0.860073, -0.506584, 0.0603882, 21.3378, 121.116, 15.3339, 0.860073, -0.506584, 0.0603882, 28.7471, 132.715, 7.1142, 0.860073, -0.506584, 0.0603882, 25.1125, 124.989, 3.00429, 
4, a, 0.194762, 67.5707, 17.2979, -37.4018, 0.912587, -0.146743, 0.381642, 0.00421465, 0.936707, 0.35009, -0.40886, -0.317879, 0.855445, 0.0368224, 0.395425, -0.91776, -0.146176, 0.0217438, -0.98902, -10.6736, 133.693, 76.8007, 0.534279, 0.828861, 0.16594, -28.3918, 139.949, 35.3086, 0.418529, 0.907236, -0.0419123, -44.978, 145.395, -12.443, 0.418529, 0.907236, -0.0419123, -32.9396, 140.626, 4.53876, 0.418529, 0.907236, -0.0419123, -46.0653, 144.888, -6.08742, -0.000142298, -0.925075, 0.379785, -10.5104, 171.137, 10.9919, 0.980973, -0.0786773, -0.177488, -16.6243, 136.971, -7.2323, 0.979664, -0.0763312, -0.18556, -15.4091, 105.552, 12.1079, 0.979664, -0.0763312, -0.18556, -16.6275, 116.569, 1.14383, 0.979664, -0.0763312, -0.18556, -19.5583, 106.838, 3.95051, -0.236222, -0.856257, 0.459372, 9.64981, 170.007, 11.2034, 0.956641, -0.277338, -0.0890002, -2.81177, 131.451, -5.90113, 0.956333, -0.288608, -0.0461836, -11.6151, 98.3025, 18.9565, 0.956333, -0.288608, -0.0461836, -8.94115, 109.233, 6.01846, 0.956333, -0.288608, -0.0461836, -13.2512, 100.791, 6.3038, -0.34744, -0.815299, 0.463221, 29.1523, 164.745, 16.1322, 0.923636, -0.381599, 0.0357722, 15.2462, 129.749, 0.510766, 0.924924, -0.379246, 0.0262428, 1.89329, 98.8809, 25.0463, 0.924924, -0.379246, 0.0262428, 6.46379, 109.14, 12.2198, 0.924924, -0.379246, 0.0262428, 1.77051, 102.686, 5.70519, -0.52156, -0.760931, 0.385952, 45.7424, 155.634, 20.98, 0.82977, -0.548714, 0.101958, 31.1052, 130.982, 6.18007, 0.838924, -0.539802, 0.0694311, 15.0254, 108.277, 23.9426, 0.838924, -0.539802, 0.0694311, 21.7969, 117.402, 13.0681, 0.838924, -0.539802, 0.0694311, 16.0017, 110.814, 7.52522, 
5, a, 0.461078, 61.6865, -2.74353, -33.3917, 0.965186, -0.235364, 0.114106, 0.164585, 0.885543, 0.434426, -0.203294, -0.400521, 0.893451, -0.0124676, 0.554963, -0.831782, -0.268521, 0.134453, -0.953844, -3.56998, 134.409, 118.965, 0.661606, 0.713263, 0.231375, -22.6617, 144.285, 78.1109, 0.476816, 0.878942, -0.0103362, -44.1637, 155.41, 32.1874, 0.476816, 0.878942, -0.0103362, -31.1286, 148.525, 48.0346, 0.476816, 0.878942, -0.0103362, -42.918, 153.895, 32.0235, -0.18667, -0.964744, 0.185537, -5.64097, 184.018, 60.4543, 0.933265, -0.159127, -0.322016, -17.0828, 163.683, 28.2956, 0.954396, -0.22287, -0.198639, -21.5096, 131.014, 43.6807, 0.954396, -0.22287, -0.198639, -21.2554, 142.118, 32.4429, 0.954396, -0.22287, -0.198639, -20.8103, 134.508, 29.4422, -0.386858, -0.922131, 0.00398878, 14.3136, 180.443, 57.6467, 0.891312, -0.366655, -0.266695, -3.78821, 161.086, 21.8049, 0.892929, -0.375681, -0.248077, -17.6847, 122.251, 30.5963, 0.892929, -0.375681, -0.248077, -13.9618, 136.836, 21.9098, 0.892929, -0.375681, -0.248077, -17.9049, 125.461, 25.7173, -0.459118, -0.881704, 0.108669, 33.5651, 171.959, 58.87, 0.858327, -0.488016, -0.158477, 13.5661, 145.845, 33.8622, 0.859882, -0.471787, -0.194987, -4.25684, 109.026, 44.3489, 0.859882, -0.471787, -0.194987, 1.80406, 123.257, 36.6462, 0.859882, -0.471787, -0.194987, -1.80347, 117.293, 31.0794, -0.712246, -0.69552, 0.094644, 49.3526, 160.039, 59.7464, 0.749919, -0.652343, -0.109862, 32.1787, 141.49, 39.0022, 0.701326, -0.710726, 0.0548684, 8.82976, 119.122, 47.6969, 0.701326, -0.710726, 0.0548684, 19.2956, 128.91, 40.7141, 0.701326, -0.710726, 0.0548684, 12.2806, 123.688, 38.2714, 
6, a, 0.630469, 68.1057, -19.6229, -38.7757, 0.952697, -0.107194, 0.284392, -0.0381093, 0.886217, 0.461701, -0.301524, -0.450699, 0.84021, 0.0480142, 0.457, -0.88817, -0.0896837, 0.0184377, -0.9958, -3.34996, 126.512, 84.4121, 0.637354, 0.744714, 0.197939, -21.8196, 135.858, 43.1493, 0.502614, 0.864015, -0.0292688, -34.588, 141.595, -6.77182, 0.502614, 0.864015, -0.0292688, -24.6475, 136.44, 11.75, 0.502614, 0.864015, -0.0292688, -31.9225, 137.771, -2.40121, -0.216007, -0.975047, -0.0512194, -1.22946, 169.143, 20.6393, 0.956242, -0.180531, -0.230239, -11.721, 138.48, -2.34615, 0.964452, -0.204893, -0.166888, -19.1982, 101.476, -0.125925, 0.964452, -0.204893, -0.166888, -16.5494, 116.685, -3.49105, 0.964452, -0.204893, -0.166888, -17.8995, 102.776, -0.976117, -0.324832, -0.892585, 0.312693, 18.904, 165.573, 19.7754, 0.911469, -0.38107, -0.154954, 4.13457, 144.505, -16.6252, 0.9116, -0.383558, -0.147881, -5.98597, 111.669, 6.15395, 0.9116, -0.383558, -0.147881, -4.40787, 121.032, -8.40197, 0.9116, -0.383558, -0.147881, -4.44591, 112.054, 3.48377, -0.399186, -0.800609, 0.446851, 38.0575, 157.572, 23.4109, 0.871027, -0.489883, -0.0364132, 20.1855, 128.449, 0.177817, 0.875279, -0.477878, -0.0742839, 6.12243, 98.72, 25.7274, 0.875279, -0.477878, -0.0742839, 9.95884, 107.939, 11.6256, 0.875279, -0.477878, -0.0742839, 7.67512, 99.1494, 20.4028, -0.64875, -0.66883, 0.36303, 53.8058, 146.066, 26.8324, 0.760241, -0.649259, 0.0222765, 38.426, 126.249, 5.85456, 0.738747, -0.668023, 0.0894359, 19.0461, 107.332, 24.6334, 0.738747, -0.668023, 0.0894359, 26.6914, 114.151, 12.4211, 0.738747, -0.668023, 0.0894359, 22.4461, 106.17, 22.6357, 
7, a, 0.772954, 18.7094, -25.173, -40.2745, 0.987381, -0.101033, 0.121944, 0.100683, 0.994877, 0.00903932, -0.122233, 0.00335245, 0.992496, 0.118209, 0.403215, -0.907438, -0.0690489, 0.033643, -0.997046, -5.92087, 120.836, 70.1985, 0.553831, 0.804503, 0.214585, -21.9134, 128.949, 27.6601, 0.455639, 0.890163, -0.00151811, -34.6146, 135.366, -21.917, 0.455639, 0.890163, -0.00151811, -24.0907, 130.01, -3.7784, 0.455639, 0.890163, -0.00151811, -30.5789, 128.921, -19.4532, 0.0441448, -0.847676, 0.528674, 0.537083, 159.447, 4.196, 0.987213, -0.1169, -0.108371, -6.81039, 126.107, -16.1272, 0.973053, -0.0833988, -0.214972, -3.45219, 99.5947, 9.35873, 0.973053, -0.0833988, -0.214972, -5.82363, 107.159, -4.3098, 0.973053, -0.0833988, -0.214972, -2.51752, 100.039, 0.917476, -0.275137, -0.750362, 0.601046, 20.8395, 157.464, 5.84634, 0.94867, -0.315318, -0.0245078, 8.23294, 119.803, -14.3962, 0.944334, -0.328217, 0.0225275, -1.73469, 93.2917, 17.1776, 0.944334, -0.328217, 0.0225275, 0.997378, 100.07, 1.41012, 0.944334, -0.328217, 0.0225275, 1.01578, 94.0452, 6.51361, -0.42865, -0.695765, 0.576343, 39.9676, 151.273, 12.1617, 0.902669, -0.419446, 0.0961946, 26.6551, 117.306, -7.23774, 0.891106, -0.430765, 0.142729, 10.3449, 93.536, 22.8512, 0.891106, -0.430765, 0.142729, 15.6736, 99.4818, 7.52749, 0.891106, -0.430765, 0.142729, 14.705, 94.5994, 11.2792, -0.609155, -0.625081, 0.488061, 56.0035, 141.308, 18.1331, 0.797685, -0.583265, 0.153296, 42.4608, 117.528, 0.233365, 0.776141, -0.596309, 0.204992, 24.0762, 101.173, 22.2658, 0.776141, -0.596309, 0.204992, 31.4424, 106.221, 9.06142, 0.776141, -0.596309, 0.204992, 28.7897, 101.757, 14.2568, 
8, a, 0.458641, 68.0513, 0.741677, -72.5555, 0.885953, -0.165331, 0.433304, -0.0897388, 0.855529, 0.509919, -0.455009, -0.490648, 0.743122, 0.0651927, 0.371712, -0.926056, -0.110844, 0.0321007, -0.993319, -8.27085, 136.966, 60.9476, 0.516758, 0.840467, 0.163023, -24.5356, 143.764, 18.282, 0.42607, 0.904505, -0.0183142, -39.6646, 149.901, -30.5555, 0.42607, 0.904505, -0.0183142, -28.0307, 144.776, -13.039, 0.42607, 0.904505, -0.0183142, -38.4234, 147.011, -20.549, -0.0287245, -0.988632, 0.147587, -6.16428, 173.153, -6.69041, 0.987782, -0.0692954, -0.139585, -12.0232, 139.579, -27.1131, 0.980489, -0.056591, -0.188252, -12.0967, 103.421, -16.6263, 0.980489, -0.056591, -0.188252, -12.6653, 117.481, -23.8141, 0.980489, -0.056591, -0.188252, -14.7364, 109.148, -25.2918, -0.269061, -0.934018, 0.234983, 14.26, 172.305, -5.70375, 0.962867, -0.265895, -0.0467625, 3.24164, 134.074, -25.8021, 0.960913, -0.27685, -0.000165077, -7.91876, 95.328, -10.447, 0.960913, -0.27685, -0.000165077, -3.83412, 109.511, -19.6225, 0.960913, -0.27685, -0.000165077, -6.98314, 100.161, -18.5966, -0.368145, -0.901276, 0.228408, 33.8986, 167.387, 0.146846, 0.926698, -0.367309, 0.0794707, 21.6334, 132.759, -18.7673, 0.929399, -0.363645, 0.0630859, 6.29769, 96.1362, -3.93986, 0.929399, -0.363645, 0.0630859, 12.2019, 109.669, -12.9157, 0.929399, -0.363645, 0.0630859, 8.04717, 100.253, -10.3845, -0.566747, -0.814186, 0.126089, 50.6427, 158.527, 5.91237, 0.832699, -0.533954, 0.146647, 38.2681, 133.888, -11.6698, 0.819939, -0.54241, 0.183005, 19.0307, 107.852, -2.64659, 0.819939, -0.54241, 0.183005, 28.0168, 119.161, -9.38914, 0.819939, -0.54241, 0.183005, 22.0407, 110.52, -6.61068, 
9, a, 0.246248, 72.3416, -3.40035, -48.9719, 0.851722, -0.255727, 0.457355, -0.0360565, 0.842153, 0.538032, -0.522752, -0.474744, 0.708059, 0.172525, 0.398633, -0.900737, -0.07481, 0.103129, -0.991851, -11.2802, 115.998, 62.6324, 0.535258, 0.808739, 0.243804, -22.9222, 124.947, 18.8661, 0.46564, 0.883156, 0.0567068, -34.2176, 134.118, -31.2116, 0.46564, 0.883156, 0.0567068, -25.2811, 128.198, -12.4086, 0.46564, 0.883156, 0.0567068, -35.5841, 131.534, -13.7425, 0.0420311, -0.814915, 0.578054, -0.914742, 154.264, -3.07247, 0.992634, -0.112121, -0.0458987, -7.38644, 122.767, -26.4106, 0.98204, -0.0728129, -0.174054, -4.23587, 99.2156, 1.2179, 0.98204, -0.0728129, -0.174054, -6.44693, 104.551, -13.4894, 0.98204, -0.0728129, -0.174054, -8.859, 101.917, -15.5012, -0.297637, -0.75436, 0.585109, 19.255, 152.401, -0.147539, 0.949946, -0.310261, 0.0366026, 9.38472, 117.538, -26.111, 0.945158, -0.31918, 0.0692814, -1.41064, 92.448, 5.57464, 0.945158, -0.31918, 0.0692814, 1.55745, 97.6994, -10.7238, 0.945158, -0.31918, 0.0692814, 2.60132, 95.6514, -19.4291, -0.411343, -0.723609, 0.554244, 37.9833, 146.352, 7.38565, 0.897038, -0.413944, 0.154833, 27.6222, 115.179, -17.6784, 0.902375, -0.40903, 0.135695, 12.4542, 91.7009, 12.4179, 0.902375, -0.40903, 0.135695, 17.084, 96.641, -3.47934, 0.902375, -0.40903, 0.135695, 18.6908, 96.3039, -15.2263, -0.641468, -0.644532, 0.416049, 53.6661, 136.509, 14.4056, 0.789534, -0.578004, 0.206273, 44.6423, 114.859, -8.37909, 0.763112, -0.591667, 0.259979, 25.3374, 99.133, 12.497, 0.763112, -0.591667, 0.259979, 33.0394, 103.201, -0.853592, 0.763112, -0.591667, 0.259979, 32.441, 101.255, 4.62071, 
10, a, 0.0598134, 51.3274, -18.2168, -43.0383, 0.809725, -0.415463, 0.41441, 0.164003, 0.838291, 0.519972, -0.563426, -0.35307, 0.746922, 0.298964, 0.433847, -0.849939, -0.0931386, 0.0479431, -0.994498, -18.8141, 119.778, 62.3541, 0.718322, 0.610034, 0.334473, -22.3959, 121.429, 15.9418, 0.608326, 0.793466, -0.0187204, -34.5698, 129.576, -34.3601, 0.608326, 0.793466, -0.0187204, -25.3591, 122.955, -15.6988, 0.608326, 0.793466, -0.0187204, -32.3913, 128.967, -30.3414, -0.406499, -0.896671, 0.175328, 3.43019, 161.188, 0.825495, 0.930645, -0.361788, -0.0548663, -3.80689, 140.406, -32.684, 0.913358, -0.403681, 0.0531009, -17.9611, 110.425, -17.1492, 0.913358, -0.403681, 0.0531009, -12.9751, 120.182, -28.7296, 0.913358, -0.403681, 0.0531009, -16.0753, 113.342, -20.2315, -0.515358, -0.830911, 0.209745, 22.4933, 153.756, 3.61535, 0.835436, -0.549567, 0.00482069, 7.56982, 132.786, -33.2695, 0.844817, -0.533676, -0.0384008, -11.9167, 100.598, -14.6317, 0.844817, -0.533676, -0.0384008, -6.1051, 110.738, -27.704, 0.844817, -0.533676, -0.0384008, -9.85131, 103.559, -17.9327, -0.637777, -0.75542, 0.150267, 38.9076, 142.153, 10.5486, 0.753675, -0.647884, 0.110541, 26.7124, 123.557, -24.717, 0.769006, -0.635487, 0.0691752, 1.68549, 95.028, -8.58574, 0.769006, -0.635487, 0.0691752, 10.2261, 104.03, -20.8326, 0.769006, -0.635487, 0.0691752, 4.29309, 97.6081, -11.2883, -0.853596, -0.506426, 0.122092, 51.3805, 127.736, 16.5292, 0.605732, -0.782721, 0.142958, 42.2007, 112.287, -11.1423, 0.519194, -0.807899, 0.278812, 15.0564, 99.2387, 1.5961, 0.519194, -0.807899, 0.278812, 26.6218, 103.044, -8.91397, 0.519194, -0.807899, 0.278812, 18.7095, 100.725, -1.01702, 
